file_pathname,pattern_type,role
helix-core/src/main/java/org/apache/helix/HelixManagerProperty.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixTaskExecutor.java,(Object)Adapter,Adapter
helix-core/src/main/java/org/apache/helix/monitoring/mbeans/MessageQueueMonitor.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixTaskExecutor.java,(Object)Adapter,adaptee
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixTaskExecutor.java,(Object)Adapter,Request()
helix-core/src/main/java/org/apache/helix/monitoring/mbeans/ParticipantStatusMonitor.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/util/StatusUpdateUtil.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/manager/zk/ZKHelixDataAccessor.java,(Object)Adapter,Adapter
helix-core/src/main/java/org/apache/helix/GroupCommit.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/manager/zk/ZKHelixDataAccessor.java,(Object)Adapter,adaptee
helix-core/src/main/java/org/apache/helix/manager/zk/ZKHelixDataAccessor.java,(Object)Adapter,Request()
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixStateTransitionHandler.java,(Object)Adapter,Adapter
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixStateTransitionHandler.java,(Object)Adapter,adaptee
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixStateTransitionHandler.java,(Object)Adapter,Request()
helix-core/src/main/java/org/apache/helix/controller/rebalancer/waged/GlobalRebalanceRunner.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/controller/rebalancer/waged/WagedRebalancer.java,(Object)Adapter,Adapter
helix-core/src/main/java/org/apache/helix/controller/rebalancer/waged/WagedRebalancer.java,(Object)Adapter,adaptee
helix-core/src/main/java/org/apache/helix/controller/rebalancer/waged/WagedRebalancer.java,(Object)Adapter,Request()
helix-core/src/main/java/org/apache/helix/controller/rebalancer/waged/PartialRebalanceRunner.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/model/ClusterConfig.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/controller/dataproviders/BaseControllerDataProvider.java,(Object)Adapter,Adapter
helix-core/src/main/java/org/apache/helix/controller/dataproviders/BaseControllerDataProvider.java,(Object)Adapter,adaptee
helix-core/src/main/java/org/apache/helix/controller/dataproviders/BaseControllerDataProvider.java,(Object)Adapter,Request()
helix-core/src/main/java/org/apache/helix/model/Message.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixBatchMessageTask.java,(Object)Adapter,Adapter
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixBatchMessageTask.java,(Object)Adapter,adaptee
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixBatchMessageTask.java,(Object)Adapter,Request()
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixTask.java,(Object)Adapter,Adapter
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixTask.java,(Object)Adapter,adaptee
helix-core/src/main/java/org/apache/helix/messaging/handling/HelixTask.java,(Object)Adapter,Request()
helix-core/src/main/java/org/apache/helix/controller/GenericHelixController.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/HelixManager.java,(Object)Adapter,Adaptee
helix-core/src/main/java/org/apache/helix/spectator/RoutingTableProvider.java,(Object)Adapter,Adapter
helix-core/src/main/java/org/apache/helix/spectator/RoutingTableProvider.java,(Object)Adapter,adaptee
helix-core/src/main/java/org/apache/helix/spectator/RoutingTableProvider.java,(Object)Adapter,Request()
