model,key_metric,ambari,helix,junit5,lo,hi,boundary_status
archpat,Legacy_n,—,384,—,0,200,ambari:- helix:OUT junit5:-
brooks,brooks_tax_median,0.0294384057971015,0.112676056338028,0.222222222222222,-,-,n/a
brooksq,leak_rate,0.697098549274637,0.571318427139553,0.604449313221539,0,0.5,ambari:OUT helix:OUT junit5:OUT
debt,pay_rate_median,—,0.588235294117647,0.589595375722543,0,1,ambari:- helix:in junit5:in
defmap,tst_median,0.0983606557377049,0.375,0.15,-,-,n/a
dora,cfr,0.341386884217132,0.0494021397105098,0.271923703186788,-,-,n/a
learn,train_rate,0.698209198209198,0.811111111111111,0.885141093474427,0,1,ambari:in helix:in junit5:in
rework,failrate_median,0.27405668893302,0.0188394652785993,0.272727272727273,0,1,ambari:in helix:in junit5:in
